,Semantic Matrix
10,"[[ 0.0001704  0.0099323  0.0016067 ...  0.0909876 -0.0520374  0.0193972]
 [ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 ...
 [ 0.0347614  0.0197085 -0.0788339 ...  0.1272516  0.0265366  0.0577288]
 [ 0.040834   0.0431842 -0.0289364 ...  0.0458281 -0.0446531  0.033196 ]
 [-0.0455825  0.0033373 -0.049164  ...  0.0631643 -0.0657691  0.056327 ]]"
11,"[[ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 ...
 [-0.0137416  0.0962888 -0.0498987 ...  0.0382037  0.0619835  0.0881023]
 [-0.0251725 -0.0096432 -0.0866634 ... -0.0008297 -0.0706332  0.0065436]
 [-0.0185754  0.0172855 -0.0877174 ...  0.0361189 -0.0371509  0.0008062]]"
12,"[[ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [-0.0052763 -0.0084552 -0.131613  ... -0.0015731  0.0408997  0.0113392]
 ...
 [-0.0125898  0.0954171  0.0387632 ...  0.0934293  0.0010198  0.0108504]
 [ 0.0260365  0.0084838 -0.0459296 ...  0.0912741 -0.0947846  0.0397861]
 [-0.0580831  0.0528913  0.0013791 ... -0.0061247  0.0999418  0.0283926]]"
13,"[[-0.0164758  0.0972721 -0.1168417 ...  0.046046  -0.0828827  0.0274837]
 [ 0.0693876 -0.001492  -0.0770266 ... -0.0451974 -0.0649315  0.0576108]
 [-0.0195744  0.0522916 -0.0508934 ...  0.0545287 -0.0292218  0.0494952]
 ...
 [-0.0185754  0.0172855 -0.0877174 ...  0.0361189 -0.0371509  0.0008062]
 [-0.0251725 -0.0096432 -0.0866634 ... -0.0008297 -0.0706332  0.0065436]
 [ 0.0490391  0.0461675 -0.0658273 ...  0.0227524 -0.0044732  0.0781975]]"
14,"[[-0.0123308  -0.0051449  -0.0714337  ...  0.0435405   0.0033591
   0.0884417 ]
 [-0.0164758   0.0972721  -0.1168417  ...  0.046046   -0.0828827
   0.0274837 ]
 [ 0.0001704   0.0099323   0.0016067  ...  0.0909876  -0.0520374
   0.0193972 ]
 ...
 [-0.0280979  -0.0088372  -0.0892787  ...  0.1001553   0.116017
   0.0154085 ]
 [ 0.0149876   0.0866554  -0.0801154  ...  0.0517752   0.0053819
   0.0282039 ]
 [-0.0101377   0.0479239  -0.073729   ...  0.14844111  0.0425171
   0.0503815 ]]"
15,"[[-0.0195744  0.0522916 -0.0508934 ...  0.0545287 -0.0292218  0.0494952]
 [ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 ...
 [ 0.0443811  0.0225892 -0.1047076 ... -0.040129   0.03694    0.0224563]
 [-0.0164758  0.0972721 -0.1168417 ...  0.046046  -0.0828827  0.0274837]
 [ 0.0285275  0.1323899 -0.0548394 ...  0.0307433  0.0066818  0.0294969]]"
16,"[[ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [-0.0580831  0.0528913  0.0013791 ... -0.0061247  0.0999418  0.0283926]
 ...
 [ 0.040834   0.0431842 -0.0289364 ...  0.0458281 -0.0446531  0.033196 ]
 [ 0.01637    0.072989  -0.066381  ...  0.0762931 -0.0071712  0.0114139]
 [ 0.032488  -0.0329957 -0.0156095 ...  0.0898497 -0.032488  -0.0237315]]"
17,"[[ 1.71981007e-02 -7.49340001e-03 -5.79820015e-02 ...  1.39550000e-01
  -1.19239897e-01  7.46887028e-02]
 [ 1.63700003e-02  7.29890019e-02 -6.63810000e-02 ...  7.62931034e-02
  -7.17120012e-03  1.14139002e-02]
 [ 3.47613990e-02  1.97084993e-02 -7.88339004e-02 ...  1.27251595e-01
   2.65366007e-02  5.77288009e-02]
 ...
 [ 4.13844995e-02  2.03625001e-02 -1.38497993e-01 ...  4.78148013e-02
   5.01230992e-02  9.76080969e-02]
 [-4.66425009e-02 -8.32299981e-03  1.52939996e-02 ...  3.51509005e-02
   2.31522992e-02  3.49818990e-02]
 [ 1.13499998e-04 -2.86159990e-03 -6.38594031e-02 ...  5.48226982e-02
   3.13272998e-02  7.68121034e-02]]"
18,"[[ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [-0.0195744  0.0522916 -0.0508934 ...  0.0545287 -0.0292218  0.0494952]
 ...
 [ 0.0412244 -0.0054797 -0.0222089 ... -0.0406438 -0.0252572  0.0653204]
 [ 0.0321891  0.0880275 -0.1016038 ...  0.0783926  0.0906552  0.0391963]
 [-0.0351537  0.1024725  0.0518055 ...  0.0340152  0.063476  -0.0025796]]"
19,"[[-0.0455825   0.0033373  -0.049164   ...  0.0631643  -0.0657691
   0.056327  ]
 [-0.1036354   0.0971948   0.0471336  ...  0.0361553  -0.0048671
  -0.0009789 ]
 [ 0.0040587   0.0671903  -0.0938735  ...  0.1620283  -0.0906587
   0.0184854 ]
 ...
 [ 0.0212626   0.0011886  -0.14791401 ...  0.0670896   0.0221871
   0.0892767 ]
 [-0.0248256  -0.0297907  -0.1412932  ...  0.0060291   0.0246838
   0.0001773 ]
 [ 0.0297324   0.0428927  -0.070838   ...  0.0789616  -0.0740874
   0.0428927 ]]"
20,"[[ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [ 0.0297324  0.0428927 -0.070838  ...  0.0789616 -0.0740874  0.0428927]
 ...
 [-0.0753395  0.0289862 -0.1046926 ...  0.0675121 -0.0118024 -0.0153492]
 [ 0.0061009 -0.021205  -0.0544934 ...  0.0188358 -0.0183619  0.0523611]
 [ 0.0318674 -0.0430968 -0.0682872 ... -0.0437038 -0.0073978  0.0069425]]"
21,"[[ 0.0171981  -0.0074934  -0.057982   ...  0.13955    -0.1192399
   0.0746887 ]
 [-0.0230193   0.0844041  -0.0952744  ...  0.15729859  0.0337297
  -0.0202218 ]
 [-0.1036354   0.0971948   0.0471336  ...  0.0361553  -0.0048671
  -0.0009789 ]
 ...
 [-0.0251725  -0.0096432  -0.0866634  ... -0.0008297  -0.0706332
   0.0065436 ]
 [ 0.0153993   0.0633671  -0.053809   ...  0.0269045  -0.0288515
   0.0256655 ]
 [-0.0771615  -0.0180508  -0.0818098  ...  0.0272699  -0.0158816
   0.0227766 ]]"
22,"[[-0.0285731 -0.0260957 -0.0142866 ...  0.0819207 -0.0043975  0.0219666]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 ...
 [-0.0999815 -0.0331056  0.0776452 ...  0.0678066 -0.0388226  0.0113011]
 [ 0.040834   0.0431842 -0.0289364 ...  0.0458281 -0.0446531  0.033196 ]
 [-0.0079411  0.0551923 -0.030327  ...  0.0451312  0.0057851  0.0227093]]"
23,"[[-0.0123308 -0.0051449 -0.0714337 ...  0.0435405  0.0033591  0.0884417]
 [ 0.0270985  0.0400995 -0.1083939 ...  0.0264719  0.0410393  0.0341472]
 [-0.0248256 -0.0297907 -0.1412932 ...  0.0060291  0.0246838  0.0001773]
 ...
 [-0.0114774  0.0351776 -0.0287681 ... -0.0127444  0.0056269 -0.0308549]
 [ 0.1110843  0.1016422 -0.0283265 ...  0.0463777 -0.0270768  0.033603 ]
 [-0.0285731 -0.0260957 -0.0142866 ...  0.0819207 -0.0043975  0.0219666]]"
24,"[[ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [ 0.0270985  0.0400995 -0.1083939 ...  0.0264719  0.0410393  0.0341472]
 ...
 [-0.0179964  0.0386991 -0.0941769 ...  0.0405935 -0.0025878  0.0484416]
 [ 0.0114162  0.0827042 -0.0705269 ...  0.0362782 -0.0806746  0.017378 ]
 [ 0.071215   0.0597854 -0.0996424 ...  0.0718011 -0.0635953  0.0274016]]"
25,"[[ 0.0443811  0.0225892 -0.1047076 ... -0.040129   0.03694    0.0224563]
 [-0.0123308 -0.0051449 -0.0714337 ...  0.0435405  0.0033591  0.0884417]
 [ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 ...
 [-0.0381804  0.0773927 -0.1047381 ...  0.0304411 -0.0294092  0.0521111]
 [-0.0501677  0.1036577 -0.0272434 ...  0.0581414 -0.080069   0.0116283]
 [-0.1036354  0.0971948  0.0471336 ...  0.0361553 -0.0048671 -0.0009789]]"
26,"[[ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [-0.0045445  0.0162272 -0.0535585 ...  0.0324543 -0.0395482 -0.0041455]
 ...
 [ 0.0088183  0.0617928 -0.0901145 ... -0.0334711  0.047117   0.069002 ]
 [ 0.0056691  0.0291752 -0.0100247 ...  0.0522665 -0.0373332 -0.0338764]
 [ 0.0436605  0.0293194 -0.0532211 ...  0.0398362 -0.1007059  0.0701117]]"
27,"[[ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [ 0.0693876 -0.001492  -0.0770266 ... -0.0451974 -0.0649315  0.0576108]
 ...
 [ 0.0001704  0.0099323  0.0016067 ...  0.0909876 -0.0520374  0.0193972]
 [ 0.0671033  0.0264199 -0.0073344 ...  0.1147563 -0.0193692 -0.1024379]
 [-0.0005421 -0.0181663 -0.0625396 ...  0.0547966  0.0354391 -0.0265049]]"
28,"[[ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [ 0.0270985  0.0400995 -0.1083939 ...  0.0264719  0.0410393  0.0341472]
 ...
 [ 0.0617707 -0.0245172 -0.0509449 ...  0.0286565 -0.0286565 -0.0375719]
 [ 0.0001704  0.0099323  0.0016067 ...  0.0909876 -0.0520374  0.0193972]
 [-0.0466425 -0.008323   0.015294  ...  0.0351509  0.0231523  0.0349819]]"
29,"[[ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [-0.0005421 -0.0181663 -0.0625396 ...  0.0547966  0.0354391 -0.0265049]
 ...
 [ 0.0323473  0.1033814 -0.0676205 ...  0.0614436 -0.0385242  0.0393369]
 [ 0.0648788  0.0286307 -0.0292874 ...  0.0151034 -0.0777495  0.0548975]
 [-0.0451942 -0.0074679 -0.0346695 ...  0.0578857  0.0138523  0.059743 ]]"
30,"[[ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [ 0.0270985  0.0400995 -0.1083939 ...  0.0264719  0.0410393  0.0341472]
 ...
 [ 0.0347614  0.0197085 -0.0788339 ...  0.1272516  0.0265366  0.0577288]
 [ 0.0276911  0.0293361 -0.0452379 ...  0.0438671 -0.0674456  0.0127489]
 [ 0.0564207  0.0922768 -0.0764579 ...  0.117587  -0.0566843  0.0176644]]"
31,"[[ 0.0443811   0.0225892  -0.1047076  ... -0.040129    0.03694
   0.0224563 ]
 [ 0.0297324   0.0428927  -0.070838   ...  0.0789616  -0.0740874
   0.0428927 ]
 [ 0.0297324   0.0428927  -0.070838   ...  0.0789616  -0.0740874
   0.0428927 ]
 ...
 [-0.0712524   0.0110669  -0.12916391 ...  0.0566987  -0.0156907
   0.0727684 ]
 [-0.0203726   0.0047813   0.0307667  ...  0.0776097  -0.0342314
   0.1141972 ]
 [ 0.0068522  -0.0906173  -0.0371978  ...  0.0531398  -0.0727176
   0.0302058 ]]"
32,"[[ 0.0164402  0.0126463 -0.1247766 ... -0.018042   0.0075456  0.0816107]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [-0.0067347 -0.0040889 -0.0420115 ...  0.1154514 -0.0416908  0.0400873]
 ...
 [ 0.0061009 -0.021205  -0.0544934 ...  0.0188358 -0.0183619  0.0523611]
 [-0.0285731 -0.0260957 -0.0142866 ...  0.0819207 -0.0043975  0.0219666]
 [ 0.0750018  0.000786  -0.0315556 ...  0.0981731 -0.0896363  0.0780507]]"
33,"[[ 0.0040587   0.0671903  -0.0938735  ...  0.1620283  -0.0906587
   0.0184854 ]
 [ 0.0171981  -0.0074934  -0.057982   ...  0.13955    -0.1192399
   0.0746887 ]
 [-0.0580831   0.0528913   0.0013791  ... -0.0061247   0.0999418
   0.0283926 ]
 ...
 [-0.0460942  -0.0074747  -0.12644771 ...  0.0414225   0.0267845
   0.0317676 ]
 [-0.0771615  -0.0180508  -0.0818098  ...  0.0272699  -0.0158816
   0.0227766 ]
 [-0.0022778   0.0247481   0.0133911  ... -0.0208494  -0.0206799
  -0.0021083 ]]"
34,"[[ 0.0171981  -0.0074934  -0.057982   ...  0.13955    -0.1192399
   0.0746887 ]
 [ 0.0040587   0.0671903  -0.0938735  ...  0.1620283  -0.0906587
   0.0184854 ]
 [ 0.0750018   0.000786   -0.0315556  ...  0.0981731  -0.0896363
   0.0780507 ]
 ...
 [ 0.0538886   0.092195    0.0245096  ... -0.049993    0.0538886
   0.0174489 ]
 [ 0.0538886   0.092195    0.0245096  ... -0.049993    0.0538886
   0.0174489 ]
 [ 0.0212626   0.0011886  -0.14791401 ...  0.0670896   0.0221871
   0.0892767 ]]"
35,"[[ 5.80890011e-03  9.12417993e-02 -8.04741010e-02 ...  9.57754999e-02
  -1.07676603e-01  5.97889014e-02]
 [ 3.08516994e-02  4.93175983e-02 -3.58060002e-02 ...  2.85997000e-02
   3.10769007e-02  5.22451997e-02]
 [ 5.20685986e-02  6.15000026e-05 -5.51313981e-02 ...  1.51751004e-02
  -4.84488010e-02 -9.74550005e-03]
 ...
 [-1.95744000e-02  5.22915982e-02 -5.08933999e-02 ...  5.45286983e-02
  -2.92217992e-02  4.94952016e-02]
 [-1.23308003e-02 -5.14490018e-03 -7.14337006e-02 ...  4.35405001e-02
   3.35910008e-03  8.84416997e-02]
 [ 1.32903000e-02 -3.12632993e-02 -2.10717004e-02 ... -4.92359977e-03
   3.39139998e-03  1.68022998e-02]]"
36,"[[ 7.50017986e-02  7.85999990e-04 -3.15556005e-02 ...  9.81730968e-02
  -8.96363035e-02  7.80507028e-02]
 [ 1.71981007e-02 -7.49340001e-03 -5.79820015e-02 ...  1.39550000e-01
  -1.19239897e-01  7.46887028e-02]
 [ 4.05870005e-03  6.71902969e-02 -9.38735008e-02 ...  1.62028298e-01
  -9.06587020e-02  1.84854008e-02]
 ...
 [ 2.42196005e-02 -3.16235982e-02 -1.04910001e-01 ...  1.28627997e-02
   1.31513998e-01  6.42511025e-02]
 [ 4.43811007e-02  2.25891992e-02 -1.04707599e-01 ... -4.01289985e-02
   3.69400010e-02  2.24562995e-02]
 [-1.52099994e-04  8.80061984e-02 -6.16940018e-03 ...  8.44383985e-02
  -7.13564008e-02 -2.46773995e-02]]"
37,"[[ 0.0040587   0.0671903  -0.0938735  ...  0.1620283  -0.0906587
   0.0184854 ]
 [ 0.0171981  -0.0074934  -0.057982   ...  0.13955    -0.1192399
   0.0746887 ]
 [-0.0501677   0.1036577  -0.0272434  ...  0.0581414  -0.080069
   0.0116283 ]
 ...
 [ 0.0276911   0.0293361  -0.0452379  ...  0.0438671  -0.0674456
   0.0127489 ]
 [-0.0120625   0.0123038  -0.0810603  ...  0.0525927  -0.0733402
  -0.0194207 ]
 [-0.0113539   0.0648419  -0.21946479 ...  0.0233641  -0.0051191
  -0.0245454 ]]"
38,"[[ 0.0270985  0.0400995 -0.1083939 ...  0.0264719  0.0410393  0.0341472]
 [ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 ...
 [-0.0120625  0.0123038 -0.0810603 ...  0.0525927 -0.0733402 -0.0194207]
 [ 0.0443811  0.0225892 -0.1047076 ... -0.040129   0.03694    0.0224563]
 [-0.0052763 -0.0084552 -0.131613  ... -0.0015731  0.0408997  0.0113392]]"
39,"[[-0.0045445  0.0162272 -0.0535585 ...  0.0324543 -0.0395482 -0.0041455]
 [ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 ...
 [ 0.0648788  0.0286307 -0.0292874 ...  0.0151034 -0.0777495  0.0548975]
 [-0.0850352 -0.0018197 -0.0887324 ...  0.0392826  0.0298856 -0.0093585]
 [-0.0753395  0.0289862 -0.1046926 ...  0.0675121 -0.0118024 -0.0153492]]"
40,"[[ 0.0171981  -0.0074934  -0.057982   ...  0.13955    -0.1192399
   0.0746887 ]
 [ 0.0040587   0.0671903  -0.0938735  ...  0.1620283  -0.0906587
   0.0184854 ]
 [ 0.0270985   0.0400995  -0.1083939  ...  0.0264719   0.0410393
   0.0341472 ]
 ...
 [-0.0101377   0.0479239  -0.073729   ...  0.14844111  0.0425171
   0.0503815 ]
 [-0.0123308  -0.0051449  -0.0714337  ...  0.0435405   0.0033591
   0.0884417 ]
 [-0.0255103   0.0082973  -0.1004792  ... -0.0486778   0.0853813
   0.0308466 ]]"
41,"[[-0.0067347  -0.0040889  -0.0420115  ...  0.1154514  -0.0416908
   0.0400873 ]
 [-0.0230193   0.0844041  -0.0952744  ...  0.15729859  0.0337297
  -0.0202218 ]
 [-0.0500627   0.1436322  -0.0977414  ...  0.0012106  -0.0482747
   0.0536386 ]
 ...
 [-0.0218499   0.1103996  -0.1034996  ...  0.0163874   0.0431248
   0.0445623 ]
 [ 0.0004261   0.0397142  -0.0284032  ...  0.0635929  -0.0160868
   0.0563036 ]
 [ 0.0363789   0.0242999  -0.0647999  ...  0.012221    0.0052579
   0.0332526 ]]"
42,"[[ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [-0.0466425 -0.008323   0.015294  ...  0.0351509  0.0231523  0.0349819]
 ...
 [ 0.0443811  0.0225892 -0.1047076 ... -0.040129   0.03694    0.0224563]
 [ 0.0560699 -0.0430436 -0.0656981 ...  0.0352561  0.0645653 -0.0050973]
 [-0.0238831  0.0990276  0.0330577 ...  0.0257763 -0.0707756 -0.069028 ]]"
43,"[[ 0.0040587   0.0671903  -0.0938735  ...  0.1620283  -0.0906587
   0.0184854 ]
 [ 0.0171981  -0.0074934  -0.057982   ...  0.13955    -0.1192399
   0.0746887 ]
 [ 0.0058089   0.0912418  -0.0804741  ...  0.0957755  -0.1076766
   0.0597889 ]
 ...
 [-0.0227036   0.0442996  -0.1002279  ...  0.0045338   0.0600814
   0.0661726 ]
 [ 0.0693933  -0.0323663  -0.0554111  ...  0.0968399   0.0582593
   0.0844113 ]
 [ 0.0212626   0.0011886  -0.14791401 ...  0.0670896   0.0221871
   0.0892767 ]]"
44,"[[ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [-0.0290913 -0.0261328 -0.097957  ...  0.1091334 -0.0213665  0.0802064]
 ...
 [-0.0451942 -0.0074679 -0.0346695 ...  0.0578857  0.0138523  0.059743 ]
 [-0.1036354  0.0971948  0.0471336 ...  0.0361553 -0.0048671 -0.0009789]
 [ 0.071215   0.0597854 -0.0996424 ...  0.0718011 -0.0635953  0.0274016]]"
45,"[[ 0.0221861  0.0366215  0.042822  ... -0.0282896  0.0643299  0.036234 ]
 [-0.0045445  0.0162272 -0.0535585 ...  0.0324543 -0.0395482 -0.0041455]
 [ 0.0270985  0.0400995 -0.1083939 ...  0.0264719  0.0410393  0.0341472]
 ...
 [-0.0123308 -0.0051449 -0.0714337 ...  0.0435405  0.0033591  0.0884417]
 [-0.0123308 -0.0051449 -0.0714337 ...  0.0435405  0.0033591  0.0884417]
 [-0.0123308 -0.0051449 -0.0714337 ...  0.0435405  0.0033591  0.0884417]]"
46,"[[-0.0045445  0.0162272 -0.0535585 ...  0.0324543 -0.0395482 -0.0041455]
 [ 0.01637    0.072989  -0.066381  ...  0.0762931 -0.0071712  0.0114139]
 [-0.0580831  0.0528913  0.0013791 ... -0.0061247  0.0999418  0.0283926]
 ...
 [-0.0248256 -0.0297907 -0.1412932 ...  0.0060291  0.0246838  0.0001773]
 [-0.0164758  0.0972721 -0.1168417 ...  0.046046  -0.0828827  0.0274837]
 [ 0.0693876 -0.001492  -0.0770266 ... -0.0451974 -0.0649315  0.0576108]]"
